date,close,open,high,low      
10/15/2021,15134.50,15063.75,15145.00,15020.75     
10/14/2021,15037.25,14770.25,15071.50,14767.50     
10/13/2021,14764.25,14594.00,14795.75,14591.00     
10/12/2021,14653.25,14688.50,14783.25,14585.50      
10/11/2021,14700.50,14810.25,14897.25,14677.00      
10/08/2021,14808.25,14891.25,14996.00,14790.75      
10/07/2021,14881.25,14768.00,15001.25,14767.00     
10/06/2021,14759.00,14662.00,14770.00,14422.50     
10/05/2021,14655.25,14493.75,14754.75,14410.50     
10/04/2021,14462.25,14785.00,14835.00,14367.75      
10/01/2021,14761.75,14702.25,14818.00,14537.00     
09/30/2021,14682.50,14769.75,14883.50,14670.25      
09/29/2021,14739.75,14769.25,14926.00,14711.00      
09/28/2021,14764.75,15172.25,15192.25,14740.75      
09/27/2021,15194.75,15319.00,15399.25,15084.00      
09/24/2021,15318.75,15300.25,15334.25,15176.75     
09/23/2021,15303.50,15178.25,15347.00,15175.25     
09/22/2021,15163.50,14992.75,15227.00,14930.50     
09/21/2021,15024.00,14992.00,15163.25,14963.25     
09/20/2021,15009.50,15284.00,15338.25,14807.50      
09/17/2021,15486.67,15502.75,15547.00,15474.00    
09/16/2021,15517.75,15516.50,15542.00,15369.50     
09/15/2021,15504.00,15395.50,15521.75,15315.25     
09/14/2021,15387.00,15452.25,15530.75,15351.25      
09/13/2021,15436.75,15452.50,15565.00,15350.25      
09/11/2021,15447.75,15447.80,15447.80,15447.75     
09/10/2021,15441.50,15561.00,15668.00,15433.50      
09/09/2021,15558.75,15610.00,15675.75,15545.75      
09/08/2021,15620.00,15671.00,15691.00,15523.75      
09/07/2021,15674.75,15656.00,15708.75,15606.75      
09/06/2021,15691.00,15652.75,15707.75,15642.75    
09/05/2021,15652.25,15655.00,15663.50,15652.25    
09/04/2021,15655.00,15655.00,15655.00,15655.00
09/03/2021,15651.50,15601.00,15677.50,15552.25     
09/02/2021,15601.00,15610.00,15682.00,15551.75      
09/01/2021,15609.25,15599.50,15699.00,15578.50     
08/31/2021,15582.50,15605.50,15677.25,15517.75      
08/30/2021,15597.50,15432.75,15617.75,15420.00     
08/28/2021,15428.25,15428.20,15428.25,15428.20     
08/27/2021,15426.50,15286.00,15443.75,15265.50     
08/26/2021,15274.75,15367.25,15368.25,15255.25      
08/25/2021,15364.25,15362.25,15397.00,15333.00     
08/24/2021,15355.50,15327.00,15384.00,15309.50     
08/23/2021,15304.50,15090.00,15337.50,15086.50     
08/21/2021,15095.00,15095.00,15095.00,15095.00
08/20/2021,15086.75,14943.25,15100.00,14851.00     
08/19/2021,14928.00,14840.00,14999.00,14710.50     
08/18/2021,14849.25,14970.25,15037.25,14806.50      
08/17/2021,14997.50,15131.50,15133.75,14897.00      
08/16/2021,15134.00,15119.25,15139.00,14917.25     
08/14/2021,15122.00,15122.00,15122.00,15122.00
08/13/2021,15125.75,15079.75,15141.75,15055.25     
08/12/2021,15078.50,15008.50,15090.50,14941.25     
08/11/2021,15019.50,15045.00,15119.00,14963.00      
08/10/2021,15044.50,15128.75,15157.25,14994.50      
08/09/2021,15125.25,15090.25,15145.50,15003.25     
08/06/2021,15095.50,15167.75,15169.75,15047.25      
08/05/2021,15167.75,15081.75,15172.50,15069.25     
08/04/2021,15073.50,15038.00,15108.00,14997.00     
08/03/2021,15046.25,14962.25,15050.00,14849.00     
08/02/2021,14952.75,14972.75,15056.25,14932.25      
07/31/2021,14966.50,14966.50,14966.50,14966.00
07/30/2021,14955.75,14905.25,14980.00,14811.25      
07/29/2021,15037.75,14984.75,15084.00,14905.00     
07/28/2021,15011.50,14875.75,15074.50,14866.00     
07/27/2021,14947.75,15125.25,15131.50,14774.25      
07/26/2021,15117.75,15098.00,15134.00,15038.75     
07/23/2021,15098.00,14979.50,15117.25,14934.25     
07/22/2021,14928.50,14836.75,14982.75,14826.75     
07/21/2021,14827.75,14729.75,14839.50,14668.25     
